workclass,race,sex,native-country,income,age_range,hours-per-week_range,education-degree
private,white,male,united-states,<=50k,15-30,21-40,Assoc
private,white,male,united-states,<=50k,15-30,21-40,MiddleSchool
private,white,female,united-states,<=50k,15-30,21-40,HS-College
private,white,male,portugal,<=50k,30-45,41-60,Bach
self-emp-not-inc,white,male,united-states,<=50k,30-45,0-20,Assoc
state-gov,white,male,united-states,<=50k,15-30,0-20,Bach
private,white,female,united-states,<=50k,30-45,21-40,HS-College
,black,male,united-states,<=50k,45-60,21-40,HS-College
private,black,female,united-states,<=50k,15-30,0-20,Assoc
,white,male,united-states,<=50k,60-75,21-40,Elementary
local-gov,white,male,united-states,<=50k,45-60,41-60,HS-College
local-gov,white,female,united-states,<=50k,30-45,21-40,Bach
private,white,male,united-states,>50k,30-45,41-60,Bach
private,white,female,united-states,<=50k,30-45,21-40,HS-College
federal-gov,white,male,united-states,<=50k,45-60,21-40,HS-College
private,white,female,united-states,<=50k,30-45,41-60,Bach
private,white,female,united-states,<=50k,30-45,21-40,HS-College
private,white,male,united-states,<=50k,30-45,0-20,Bach
private,white,female,united-states,<=50k,30-45,21-40,HS-College
private,white,male,united-states,<=50k,15-30,21-40,Assoc
private,white,male,el-salvador,<=50k,15-30,21-40,Elementary
private,white,female,united-states,<=50k,15-30,21-40,Assoc
,white,male,united-states,<=50k,60-75,0-20,HS-College
local-gov,white,male,poland,<=50k,15-30,21-40,HS-College
local-gov,white,male,united-states,<=50k,60-75,21-40,HS-College
private,white,male,united-states,<=50k,45-60,21-40,Assoc
private,white,female,france,<=50k,45-60,41-60,Assoc
private,white,female,united-states,<=50k,15-30,21-40,Bach
private,black,male,united-states,<=50k,15-30,21-40,Bach
private,white,male,united-states,<=50k,15-30,0-20,Assoc
private,white,male,united-states,<=50k,30-45,21-40,Assoc
local-gov,black,female,united-states,<=50k,45-60,21-40,HS-College
private,white,female,united-states,<=50k,30-45,21-40,HS-College
private,white,male,united-states,<=50k,45-60,41-60,Assoc
,black,female,united-states,<=50k,45-60,21-40,Elementary
private,white,male,united-states,<=50k,30-45,41-60,Assoc
private,white,male,united-states,>50k,30-45,41-60,Assoc
private,white,male,united-states,<=50k,15-30,41-60,HS-College
,white,female,united-states,<=50k,45-60,21-40,Assoc
private,amer-indian-eskimo,female,united-states,<=50k,15-30,0-20,Assoc
,white,male,united-states,<=50k,15-30,21-40,Assoc
,white,female,united-states,<=50k,15-30,21-40,Assoc
private,white,male,united-states,>50k,30-45,41-60,Bach
self-emp-inc,white,male,united-states,>50k,30-45,61-80,Bach
private,white,male,united-states,>50k,45-60,41-60,HS-College
local-gov,black,male,united-states,<=50k,15-30,41-60,Assoc
local-gov,white,male,united-states,>50k,30-45,41-60,Assoc
private,white,male,united-states,>50k,30-45,41-60,Assoc
private,white,female,united-states,<=50k,15-30,21-40,Assoc
private,white,male,united-states,>50k,30-45,21-40,Bach
private,white,female,united-states,<=50k,60-75,0-20,Assoc
self-emp-not-inc,white,male,united-states,<=50k,30-45,41-60,HS-College
self-emp-not-inc,white,male,united-states,<=50k,30-45,21-40,Mast
private,other,female,puerto-rico,<=50k,30-45,41-60,MiddleSchool
private,white,male,united-states,<=50k,15-30,21-40,HS-College
private,black,male,united-states,<=50k,30-45,21-40,HS-College
private,white,female,united-states,>50k,30-45,41-60,Bach
private,white,male,united-states,>50k,60-75,41-60,Mast
local-gov,white,male,united-states,<=50k,30-45,41-60,HS-College
private,black,female,united-states,<=50k,45-60,21-40,Elementary
private,white,male,united-states,<=50k,15-30,21-40,Assoc
self-emp-inc,white,female,united-states,<=50k,30-45,41-60,Bach
,black,female,united-states,<=50k,30-45,21-40,HS-College
private,white,male,united-states,<=50k,30-45,21-40,Assoc
private,white,male,united-states,<=50k,15-30,21-40,Postmaster
private,white,female,united-states,<=50k,15-30,21-40,Assoc
private,white,male,united-states,<=50k,15-30,21-40,HS-College
private,white,male,united-states,<=50k,15-30,41-60,Assoc
private,white,female,united-states,<=50k,30-45,41-60,HS-College
private,white,female,united-states,<=50k,45-60,0-20,MiddleSchool
local-gov,white,male,united-states,<=50k,30-45,21-40,Assoc
private,white,male,united-states,<=50k,15-30,21-40,HS-College
private,white,male,united-states,<=50k,15-30,21-40,Assoc
self-emp-not-inc,white,male,united-states,<=50k,45-60,41-60,Assoc
self-emp-not-inc,white,female,united-states,<=50k,30-45,21-40,HS-College
private,white,female,united-states,<=50k,60-75,21-40,MiddleSchool
private,black,female,united-states,<=50k,30-45,21-40,HS-College
federal-gov,black,female,united-states,>50k,30-45,21-40,Assoc
private,white,female,united-states,<=50k,60-75,21-40,MiddleSchool
private,white,male,united-states,<=50k,30-45,21-40,HS-College
private,white,female,,<=50k,30-45,0-20,HS-College
private,white,female,united-states,<=50k,30-45,21-40,HS-College
private,white,male,mexico,<=50k,15-30,21-40,MiddleSchool
private,white,male,united-states,<=50k,15-30,41-60,Bach
private,white,male,united-states,>50k,45-60,21-40,Bach
private,white,male,united-states,>50k,45-60,41-60,Assoc
private,black,female,united-states,<=50k,15-30,21-40,HS-College
self-emp-not-inc,white,male,united-states,>50k,45-60,41-60,Bach
private,amer-indian-eskimo,male,united-states,<=50k,15-30,41-60,HS-College
self-emp-inc,white,male,united-states,<=50k,30-45,41-60,Mast
private,white,female,mexico,<=50k,30-45,21-40,Elementary
self-emp-not-inc,white,male,united-states,<=50k,15-30,21-40,HS-College
private,white,male,united-states,<=50k,45-60,41-60,Mast
private,white,male,united-states,<=50k,15-30,21-40,HS-College
private,white,male,united-states,<=50k,45-60,21-40,HS-College
private,white,male,united-states,<=50k,15-30,0-20,MiddleSchool
private,white,male,united-states,>50k,30-45,21-40,Assoc
private,white,female,united-states,<=50k,15-30,61-80,Postmaster
private,white,male,united-states,>50k,15-30,21-40,Bach
,white,male,united-states,<=50k,15-30,21-40,HS-College
self-emp-not-inc,white,female,united-states,<=50k,30-45,21-40,Bach
local-gov,white,female,united-states,<=50k,45-60,21-40,Bach
self-emp-not-inc,white,male,united-states,<=50k,15-30,41-60,Assoc
,white,male,united-states,>50k,60-75,21-40,Assoc
private,white,male,united-states,>50k,45-60,21-40,HS-College
private,white,male,united-states,<=50k,45-60,21-40,HS-College
private,white,male,united-states,<=50k,15-30,21-40,HS-College
self-emp-not-inc,white,male,united-states,<=50k,30-45,21-40,Bach
private,white,female,united-states,<=50k,15-30,21-40,Assoc
private,white,male,united-states,<=50k,15-30,41-60,Assoc
private,white,male,united-states,<=50k,15-30,21-40,MiddleSchool
private,white,male,united-states,>50k,45-60,41-60,MiddleSchool
self-emp-inc,white,male,united-states,<=50k,45-60,61-80,Bach
,white,male,united-states,<=50k,30-45,21-40,HS-College
,asian-pac-islander,female,united-states,<=50k,45-60,21-40,HS-College
private,white,male,united-states,>50k,45-60,41-60,Elementary
private,white,male,canada,>50k,30-45,21-40,Bach
private,white,female,united-states,<=50k,15-30,21-40,Bach
private,white,male,united-states,<=50k,15-30,21-40,HS-College
,amer-indian-eskimo,female,united-states,<=50k,15-30,21-40,Assoc
self-emp-not-inc,white,male,united-states,>50k,30-45,41-60,Mast
private,white,male,united-states,<=50k,15-30,21-40,Assoc
private,white,female,united-states,<=50k,45-60,41-60,Bach
private,white,male,united-states,<=50k,30-45,21-40,Bach
private,white,male,united-states,<=50k,15-30,21-40,Assoc
private,white,female,united-states,<=50k,45-60,21-40,Elementary
local-gov,white,male,united-states,<=50k,30-45,21-40,MiddleSchool
self-emp-not-inc,white,male,united-states,<=50k,30-45,21-40,Bach
private,black,female,united-states,<=50k,45-60,21-40,HS-College
private,white,male,united-states,>50k,45-60,21-40,Mast
private,amer-indian-eskimo,male,united-states,<=50k,15-30,21-40,HS-College
local-gov,black,male,united-states,<=50k,30-45,21-40,HS-College
private,white,female,united-states,<=50k,15-30,21-40,MiddleSchool
private,white,female,united-states,<=50k,45-60,41-60,Mast
private,white,male,united-states,<=50k,15-30,21-40,HS-College
private,white,male,united-states,<=50k,15-30,41-60,HS-College
local-gov,white,male,united-states,<=50k,15-30,21-40,Bach
private,white,female,united-states,<=50k,15-30,0-20,Bach
private,white,male,united-states,<=50k,30-45,41-60,HS-College
private,black,male,united-states,<=50k,15-30,41-60,HS-College
self-emp-not-inc,white,male,united-states,<=50k,45-60,21-40,HS-College
self-emp-inc,white,male,united-states,<=50k,45-60,41-60,Bach
private,white,male,united-states,>50k,45-60,41-60,Mast
private,white,female,united-states,<=50k,15-30,0-20,Bach
private,black,female,united-states,<=50k,30-45,0-20,MiddleSchool
private,black,female,united-states,<=50k,60-75,21-40,MiddleSchool
private,white,male,united-states,<=50k,15-30,41-60,Assoc
private,white,male,el-salvador,<=50k,45-60,21-40,MiddleSchool
private,black,male,united-states,<=50k,15-30,41-60,HS-College
private,white,male,united-states,>50k,30-45,41-60,HS-College
self-emp-not-inc,white,male,united-states,<=50k,30-45,61-80,HS-College
private,white,male,united-states,>50k,30-45,21-40,Assoc
private,white,male,united-states,>50k,45-60,21-40,Bach
self-emp-not-inc,black,female,united-states,<=50k,45-60,21-40,Assoc
local-gov,black,female,united-states,<=50k,45-60,21-40,MiddleSchool
private,white,male,united-states,>50k,30-45,41-60,Assoc
private,black,female,united-states,>50k,15-30,21-40,Bach
self-emp-not-inc,white,male,united-states,<=50k,45-60,41-60,HS-College
private,white,female,united-states,<=50k,15-30,0-20,HS-College
private,white,male,united-states,<=50k,15-30,21-40,Bach
private,white,male,united-states,>50k,30-45,41-60,Bach
self-emp-inc,white,male,cuba,<=50k,45-60,41-60,Elementary
self-emp-not-inc,white,male,united-states,>50k,45-60,41-60,Postmaster
private,white,male,united-states,<=50k,15-30,41-60,HS-College
private,white,male,united-states,<=50k,45-60,21-40,HS-College
private,white,male,united-states,<=50k,15-30,21-40,Assoc
private,white,male,united-states,>50k,30-45,41-60,Assoc
private,white,male,united-states,<=50k,30-45,41-60,Assoc
self-emp-inc,white,male,united-states,>50k,45-60,21-40,Postmaster
local-gov,white,female,united-states,<=50k,30-45,21-40,HS-College
private,white,male,united-states,<=50k,60-75,0-20,HS-College
,white,male,united-states,<=50k,45-60,41-60,HS-College
state-gov,white,male,united-states,>50k,15-30,21-40,Bach
private,white,male,united-states,<=50k,15-30,0-20,Assoc
private,white,male,united-states,<=50k,15-30,41-60,HS-College
private,asian-pac-islander,male,taiwan,>50k,30-45,21-40,Postmaster
state-gov,white,female,united-states,<=50k,30-45,41-60,Assoc
private,white,female,united-states,<=50k,15-30,21-40,HS-College
state-gov,asian-pac-islander,female,philippines,<=50k,15-30,21-40,Assoc
,white,female,united-states,<=50k,60-75,0-20,MiddleSchool
private,white,male,united-states,<=50k,30-45,41-60,HS-College
private,white,male,united-states,<=50k,30-45,21-40,Elementary
private,white,male,united-states,>50k,30-45,21-40,HS-College
self-emp-not-inc,black,male,united-states,>50k,30-45,21-40,HS-College
private,white,male,united-states,<=50k,30-45,41-60,Mast
private,white,male,united-states,<=50k,15-30,21-40,Assoc
local-gov,white,male,united-states,<=50k,30-45,21-40,Mast
private,white,female,united-states,<=50k,15-30,21-40,Assoc
private,white,female,united-states,>50k,30-45,21-40,Bach
state-gov,white,male,united-states,<=50k,15-30,21-40,Assoc
private,black,male,united-states,>50k,30-45,21-40,HS-College
,asian-pac-islander,female,south,<=50k,15-30,21-40,MiddleSchool
private,white,male,united-states,<=50k,15-30,21-40,MiddleSchool
federal-gov,white,male,united-states,<=50k,45-60,21-40,Assoc
,white,female,united-states,<=50k,15-30,0-20,MiddleSchool
self-emp-not-inc,white,male,united-states,<=50k,15-30,0-20,MiddleSchool
private,white,male,united-states,>50k,30-45,21-40,Bach
self-emp-inc,white,male,united-states,>50k,45-60,41-60,HS-College
private,white,female,united-states,<=50k,15-30,21-40,HS-College
private,white,male,united-states,<=50k,15-30,0-20,HS-College
private,white,male,mexico,<=50k,30-45,21-40,Assoc
private,white,male,united-states,<=50k,30-45,41-60,HS-College
self-emp-not-inc,white,male,united-states,<=50k,45-60,41-60,HS-College
local-gov,white,male,united-states,<=50k,15-30,41-60,HS-College
private,white,male,portugal,>50k,30-45,21-40,Assoc
self-emp-not-inc,white,male,united-states,>50k,30-45,21-40,HS-College
local-gov,black,male,united-states,<=50k,15-30,21-40,Assoc
state-gov,white,female,united-states,<=50k,15-30,0-20,MiddleSchool
private,white,female,united-states,<=50k,30-45,21-40,HS-College
,white,male,united-states,<=50k,60-75,0-20,Elementary
local-gov,white,female,united-states,<=50k,30-45,41-60,Bach
private,white,male,dominican-republic,<=50k,30-45,21-40,Mast
private,white,male,united-states,<=50k,15-30,21-40,HS-College
local-gov,white,male,united-states,<=50k,45-60,21-40,Assoc
private,black,female,united-states,<=50k,15-30,41-60,Assoc
private,white,male,united-states,<=50k,30-45,41-60,Assoc
private,white,male,united-states,<=50k,15-30,0-20,Assoc
state-gov,white,female,united-states,<=50k,15-30,0-20,Bach
,white,male,united-states,<=50k,15-30,41-60,Bach
private,white,male,united-states,>50k,30-45,41-60,Mast
private,white,male,united-states,>50k,30-45,21-40,Mast
private,white,female,poland,<=50k,15-30,21-40,Bach
private,white,female,united-states,<=50k,15-30,0-20,HS-College
local-gov,white,male,united-states,<=50k,30-45,41-60,Bach
private,white,female,cuba,<=50k,30-45,21-40,Bach
private,white,male,united-states,<=50k,15-30,21-40,Assoc
self-emp-not-inc,white,male,united-states,<=50k,30-45,21-40,Assoc
private,white,female,united-states,>50k,45-60,61-80,Postmaster
private,white,female,united-states,>50k,30-45,41-60,Bach
private,black,male,jamaica,<=50k,30-45,21-40,HS-College
private,black,male,united-states,<=50k,30-45,21-40,Assoc
private,white,male,united-states,<=50k,45-60,21-40,HS-College
private,white,male,united-states,<=50k,15-30,21-40,MiddleSchool
private,white,male,united-states,<=50k,15-30,21-40,Bach
private,black,female,united-states,<=50k,30-45,21-40,Assoc
private,white,male,,<=50k,30-45,21-40,Bach
private,white,male,united-states,<=50k,30-45,21-40,Assoc
local-gov,white,female,honduras,<=50k,30-45,21-40,Bach
private,black,female,united-states,<=50k,30-45,21-40,HS-College
private,white,male,united-states,<=50k,30-45,21-40,HS-College
state-gov,white,female,united-states,<=50k,15-30,21-40,HS-College
private,white,female,united-states,<=50k,15-30,0-20,Assoc
private,white,male,united-states,>50k,30-45,41-60,Bach
private,white,male,united-states,<=50k,30-45,21-40,HS-College
private,white,male,united-states,<=50k,30-45,41-60,HS-College
private,white,male,united-states,<=50k,15-30,21-40,Bach
local-gov,white,male,united-states,>50k,45-60,41-60,HS-College
private,white,male,united-states,>50k,30-45,41-60,Bach
private,white,male,,>50k,30-45,21-40,Bach
private,white,female,united-states,<=50k,30-45,21-40,HS-College
private,white,female,united-states,<=50k,15-30,0-20,Assoc
private,white,male,mexico,<=50k,30-45,21-40,HS-College
self-emp-not-inc,white,male,,>50k,60-75,41-60,MiddleSchool
private,white,female,united-states,<=50k,15-30,21-40,Assoc
private,asian-pac-islander,female,united-states,<=50k,45-60,21-40,Assoc
private,white,male,united-states,<=50k,15-30,41-60,Assoc
private,white,female,united-states,<=50k,15-30,0-20,Assoc
,black,female,united-states,<=50k,30-45,21-40,Assoc
private,white,male,united-states,<=50k,30-45,21-40,Assoc
private,black,female,united-states,<=50k,30-45,21-40,Assoc
state-gov,white,male,united-states,<=50k,30-45,41-60,Bach
private,black,female,united-states,<=50k,45-60,0-20,HS-College
private,white,male,united-states,>50k,30-45,21-40,Bach
private,white,female,united-states,<=50k,15-30,21-40,Assoc
self-emp-not-inc,white,male,united-states,<=50k,45-60,61-80,HS-College
private,white,female,united-states,>50k,30-45,41-60,Mast
private,white,male,united-states,<=50k,15-30,21-40,Assoc
private,white,male,united-states,<=50k,15-30,0-20,HS-College
local-gov,white,female,united-states,>50k,30-45,21-40,Bach
private,white,male,united-states,>50k,45-60,21-40,HS-College
private,black,female,united-states,<=50k,30-45,21-40,Assoc
private,black,male,haiti,<=50k,15-30,21-40,MiddleSchool
